,Lst,Rto,Sce,Yli,s2,s3,s4
Lst|G1IA6-19990-MONOMER,Lipst1_1_286084,8874,,YALI0D26213g,0.906,,0.65
Lst|G1IA6-17766-MONOMER,Lipst1_1_68411,14864,YIL156W-B,YALI0F21241g,0.147,0.182,0.242
Lst|G1IA6-21197-MONOMER,Lipst1_1_4465,11021,YNL055C,YALI0F17314g,0.767,0.691,0.89
Lst|G1IA6-22054-MONOMER,Lipst1_1_5229,11178,YKL085W,YALI0D16753g,1.491,1.558,1.558
Lst|G1IA6-16874-MONOMER,Lipst1_1_60579,,,YALI0B20988g,,,0.216
Lst|G1IA6-20696-MONOMER,Lipst1_1_4075,,YDR288W,,,0.077,
Lst|G1IA6-20843-MONOMER,Lipst1_1_72113,9167,YHR019C,YALI0E05005g,1.944,1.801,1.588
Lst|G1IA6-16976-MONOMER,Lipst1_1_67167,12158,YGL022W,YALI0B16434g,1.944,1.801,1.588
Lst|G1IA6-23404-MONOMER,Lipst1_1_58737,8602,YJR025C,YALI0B02852g,0.719,0.775,0.776
Lst|G1IA6-22406-MONOMER,Lipst1_1_44513,,YMR005W,YALI0F06372g,,0.374,0.324
Lst|G1IA6-24020-MONOMER,Lipst1_1_76050,13129,YER094C,YALI0F22341g,1.029,1.197,0.98
Lst|G1IA6-18061-MONOMER,Lipst1_1_1670,11881,YOR336W,YALI0C12661g,1.944,0.374,1.588
Lst|G1IA6-17304-MONOMER,Lipst1_1_1122,12525,YPL146C,YALI0A05181g,0.091,0.441,0.446
Lst|G1IA6-21071-MONOMER,Lipst1_1_318185,13662,YOR368W,YALI0F06204g,0.318,0.09,0.308
Lst|G1IA6-16952-MONOMER,Lipst1_1_67086,9594,YLL029W,YALI0E19184g,1.944,1.796,1.588
Lst|G1IA6-17598-MONOMER,Lipst1_1_48546,11754,YLR370C,YALI0B20240g,0.552,0.796,0.767
Lst|G1IA6-21149-MONOMER,Lipst1_1_4275,,,YALI0F24541g,,,1.253
Lst|G1IA6-18932-MONOMER,Lipst1_1_26843,13224,YDR447C,,0.649,0.644,
Lst|G1IA6-21854-MONOMER,Lipst1_1_85017,,YNR040W,YALI0B09812g,,0.067,0.658
Lst|G1IA6-18101-MONOMER,Lipst1_1_1834,15504,YPR081C,YALI0E14597g,1.944,1.801,1.588
Lst|G1IA6-19509-MONOMER,Lipst1_1_2969,,YKL167C,YALI0F17600g,,0.15,0.058
Lst|G1IA6-19705-MONOMER,Lipst1_1_70482,10800,YNL326C,YALI0E23177g,0.497,0.437,0.628
Lst|G1IA6-19518-MONOMER,Lipst1_1_2990,9782,YNL267W,YALI0B02376g,1.508,1.801,1.588
Lst|G1IA6-21786-MONOMER,Lipst1_1_73334,9695,YNL083W,YALI0E10813g,1.092,0.824,1.588
Lst|G1IA6-17552-MONOMER,Lipst1_1_33432,9289,YPL224C,YALI0C12254g,0.505,0.667,0.766
Lst|G1IA6-19025-MONOMER,Lipst1_1_62333,,,YALI0A15433g,,,0.178
Lst|G1IA6-17305-MONOMER,Lipst1_1_1133,11883,YOL057W,YALI0B19580g,1.901,1.801,1.588
Lst|G1IA6-19586-MONOMER,Lipst1_1_33601,,YBR122C,YALI0E14641g,,0.23,0.141
Lst|G1IA6-17014-MONOMER,Lipst1_1_67332,13981,YDL147W,YALI0D09977g,1.512,1.58,1.588
Lst|G1IA6-20013-MONOMER,Lipst1_1_289621,10455,YMR319C,,1.371,0.909,
Lst|G1IA6-20751-MONOMER,Lipst1_1_54130,12161,,YALI0F16401g,1.09,,1.588
Lst|G1IA6-17707-MONOMER,Lipst1_1_68145,13429,,YALI0D16687g,0.658,,0.479
Lst|G1IA6-21140-MONOMER,Lipst1_1_4247,10864,,,1.117,,
Lst|G1IA6-23332-MONOMER,Lipst1_1_180865,15415,YAR007C,YALI0E15642g,1.683,1.29,1.058
Lst|G1IA6-24153-MONOMER,Lipst1_1_7116,11110,,YALI0D00671g,0.314,,0.565
Lst|G1IA6-16841-MONOMER,Lipst1_1_548,8767,YGR211W,YALI0F22803g,1.416,1.801,1.584
Lst|G1IA6-19165-MONOMER,Lipst1_1_70045,14295,YLR264W,YALI0C05148g,0.223,0.202,0.171
Lst|G1IA6-23113-MONOMER,Lipst1_1_58057,15628,,,0.407,,
Lst|G1IA6-24132-MONOMER,Lipst1_1_59520,8369,YDR486C,YALI0B08987g,0.701,0.418,0.789
Lst|G1IA6-22779-MONOMER,Lipst1_1_5816,14402,YNL075W,YALI0D23859g,1.127,1.601,1.494
Lst|G1IA6-21563-MONOMER,Lipst1_1_39815,15526,,YALI0E16665g,0.408,,0.413
Lst|G1IA6-17713-MONOMER,Lipst1_1_68196,8878,YIL083C,YALI0C06996g,0.973,1.141,1.21
Lst|G1IA6-22816-MONOMER,Lipst1_1_5965,,YFR029W,YALI0D02673g,,0.795,0.527
Lst|G1IA6-21591-MONOMER,Lipst1_1_4715,11410,,,1.944,,
Lst|G1IA6-23028-MONOMER,Lipst1_1_173125,15949,,,0.212,,
Lst|G1IA6-23289-MONOMER,Lipst1_1_99482,10752,YGR195W,YALI0D06776g,0.332,0.817,0.795
Lst|G1IA6-17052-MONOMER,Lipst1_1_67489,12913,YLR147C,YALI0A19030g,0.432,0.391,0.419
Lst|G1IA6-17193-MONOMER,Lipst1_1_79,16684,YBL071W-A,YALI0F24981g,0.099,0.272,0.269
Lst|G1IA6-23471-MONOMER,Lipst1_1_6583,16341,YNR065C,YALI0E05247g,1.639,1.52,1.588
Lst|G1IA6-17151-MONOMER,Lipst1_1_67829,,,YALI0C05995g,,,0.982
Lst|G1IA6-19135-MONOMER,Lipst1_1_69917,,,YALI0E30877g,,,0.144
Lst|G1IA6-18635-MONOMER,Lipst1_1_103923,,,YALI0F08921g,,,1.588
Lst|G1IA6-21649-MONOMER,Lipst1_1_4939,12470,YFL022C,YALI0D16643g,1.944,1.801,1.588
Lst|G1IA6-19188-MONOMER,Lipst1_1_70170,12935,YNL072W,YALI0D23661g,0.703,0.717,0.914
Lst|G1IA6-23082-MONOMER,Lipst1_1_31367,,YMR059W,YALI0D26576g,,0.071,0.171
Lst|G1IA6-23062-MONOMER,Lipst1_1_177062,,YGR104C,YALI0B23320g,,0.088,0.215
Lst|G1IA6-23563-MONOMER,Lipst1_1_75567,9856,YDL215C,YALI0E09603g,1.944,1.801,1.588
Lst|G1IA6-20850-MONOMER,Lipst1_1_72144,11039,YIL155C,YALI0B13970g,1.944,1.707,1.588
Lst|G1IA6-19084-MONOMER,Lipst1_1_69690,8463,YMR061W,YALI0D18612g,1.293,0.811,1.129
Lst|G1IA6-20269-MONOMER,Lipst1_1_71191,10303,YMR296C,YALI0C03179g,1.637,1.121,1.339
Lst|G1IA6-16975-MONOMER,Lipst1_1_67165,11974,,,0.102,,
Lst|G1IA6-18978-MONOMER,Lipst1_1_50801,,YOR378W,,,0.686,
Lst|G1IA6-24441-MONOMER,Lipst1_1_76712,12295,YOL146W,YALI0D02365g,0.107,0.242,0.084
Lst|G1IA6-21692-MONOMER,Lipst1_1_55624,8733,YIL138C,YALI0F27049g,0.403,0.275,0.472
Lst|G1IA6-16919-MONOMER,Lipst1_1_66921,13784,,,0.781,,
Lst|G1IA6-19723-MONOMER,Lipst1_1_70541,12444,,YALI0D07524g,0.324,,1.243
Lst|G1IA6-21356-MONOMER,Lipst1_1_72690,14860,,YALI0D23441g,0.095,,0.254
Lst|G1IA6-17921-MONOMER,Lipst1_1_947,16825,YGR135W,YALI0C19382g,1.194,1.292,1.268
Lst|G1IA6-17785-MONOMER,Lipst1_1_68522,14953,YDR083W,YALI0F17622g,0.344,1.008,0.85
Lst|G1IA6-23353-MONOMER,Lipst1_1_184394,,YML097C,YALI0E32593g,,0.817,1.292
Lst|G1IA6-20729-MONOMER,Lipst1_1_4205,10419,,,0.073,,
Lst|G1IA6-17776-MONOMER,Lipst1_1_68478,,YMR039C,,,0.12,
Lst|G1IA6-18605-MONOMER,Lipst1_1_103484,15060,YHL021C,YALI0F16357g,0.522,0.371,0.783
Lst|G1IA6-18327-MONOMER,Lipst1_1_49403,13323,YDR407C,YALI0D15004g,0.937,0.5,0.861
Lst|G1IA6-18955-MONOMER,Lipst1_1_38761,15921,YGR017W,YALI0B04356g,0.072,0.091,0.176
Lst|G1IA6-16596-MONOMER,Lipst1_1_141493,12319,YHL004W,YALI0F12991g,0.512,0.757,0.514
Lst|G1IA6-20228-MONOMER,Lipst1_1_63281,11166,YAL033W,YALI0B04752g,0.27,0.159,0.231
Lst|G1IA6-20941-MONOMER,Lipst1_1_95593,,YMR161W,YALI0D02002g,,0.272,0.727
Lst|G1IA6-21662-MONOMER,Lipst1_1_4976,11667,YDL006W,YALI0D22066g,0.847,0.72,0.663
Lst|G1IA6-24139-MONOMER,Lipst1_1_59735,,,YALI0C10010g,,,0.288
Lst|G1IA6-18199-MONOMER,Lipst1_1_232700,11858,YDL145C,YALI0E19767g,1.944,1.801,1.588
Lst|G1IA6-21347-MONOMER,Lipst1_1_72643,14308,YPR147C,YALI0F16687g,0.22,0.231,0.273
Lst|G1IA6-17282-MONOMER,Lipst1_1_1076,13142,YGR214W,YALI0A18205g,1.203,1.12,0.999
Lst|G1IA6-23764-MONOMER,Lipst1_1_6815,,,YALI0D20394g,,,0.129
Lst|G1IA6-23591-MONOMER,Lipst1_1_100309,9807,YBR227C,YALI0B04158g,0.965,1.123,0.993
Lst|G1IA6-22840-MONOMER,Lipst1_1_6045,11307,YGR046W,YALI0C12276g,0.96,0.699,1.231
Lst|G1IA6-17601-MONOMER,Lipst1_1_48617,8707,YOR202W,YALI0E33957g,0.902,1.036,0.842
Lst|G1IA6-22368-MONOMER,Lipst1_1_163014,11289,,,0.279,,
Lst|G1IA6-19632-MONOMER,Lipst1_1_52192,8591,YJL108C,YALI0E24651g,1.028,1.593,1.588
Lst|G1IA6-22403-MONOMER,Lipst1_1_39944,,YNL217W,YALI0E34947g,,0.158,0.595
Lst|G1IA6-21169-MONOMER,Lipst1_1_4345,16526,YLR208W,YALI0F30151g,1.087,1.277,1.128
Lst|G1IA6-20997-MONOMER,Lipst1_1_28418,14887,YLL011W,YALI0D14080g,1.382,1.801,1.588
Lst|G1IA6-21879-MONOMER,Lipst1_1_106427,10598,YLR113W,YALI0E25135g,1.944,1.801,1.588
Lst|G1IA6-16980-MONOMER,Lipst1_1_67184,,YNL080C,YALI0D01936g,,0.209,0.445
Lst|G1IA6-21950-MONOMER,Lipst1_1_150885,12583,YFL047W,YALI0E05489g,0.287,0.789,1.188
Lst|G1IA6-18661-MONOMER,Lipst1_1_116866,8857,YNL207W,YALI0F31383g,1.493,1.43,1.522
Lst|G1IA6-21142-MONOMER,Lipst1_1_4253,14620,YDR079C-A,YALI0F17688g,0.14,0.178,0.223
Lst|G1IA6-18887-MONOMER,Lipst1_1_257937,11732,YDR075W,YALI0F10505g,1.809,1.558,1.481
Lst|G1IA6-18977-MONOMER,Lipst1_1_50795,13629,YJL208C,YALI0D05071g,0.916,1.235,1.212
Lst|G1IA6-16546-MONOMER,Lipst1_1_133475,16597,YER020W,YALI0A09592g,1.745,1.22,1.191
Lst|G1IA6-16940-MONOMER,Lipst1_1_67030,15399,YGL112C,YALI0C05346g,1.018,1.306,1.483
Lst|G1IA6-18925-MONOMER,Lipst1_1_26411,10781,YLR016C,YALI0D07348g,0.472,0.085,0.191
Lst|G1IA6-16738-MONOMER,Lipst1_1_41460,,YLR145W,YALI0E04741g,,0.085,0.098
Lst|G1IA6-18078-MONOMER,Lipst1_1_1742,14998,,,1.742,,
Lst|G1IA6-19796-MONOMER,Lipst1_1_70856,16479,,YALI0F21175g,0.3,,0.164
Lst|G1IA6-23743-MONOMER,Lipst1_1_6754,14437,YAR019C,YALI0F08165g,1.031,0.646,0.941
Lst|G1IA6-23091-MONOMER,Lipst1_1_333987,,YKL181W,YALI0B13552g,,1.801,1.588
Lst|G1IA6-23115-MONOMER,Lipst1_1_58099,15966,YOR090C,YALI0D07040g,0.846,0.921,1.151
Lst|G1IA6-21928-MONOMER,Lipst1_1_147292,9298,YDR236C,YALI0B01826g,0.407,0.386,0.412
Lst|G1IA6-17648-MONOMER,Lipst1_1_61440,8486,YBR269C,YALI0A02112g,0.177,0.259,0.187
Lst|G1IA6-17894-MONOMER,Lipst1_1_90785,9712,YAL032C,YALI0C11715g,1.12,0.193,0.905
Lst|G1IA6-22492-MONOMER,Lipst1_1_5692,9742,YCR053W,YALI0F23221g,1.818,1.801,1.588
Lst|G1IA6-21601-MONOMER,Lipst1_1_4753,,YPR024W,YALI0B01386g,,1.801,1.588
Lst|G1IA6-19185-MONOMER,Lipst1_1_70142,,,YALI0C21043g,,,0.402
Lst|G1IA6-21338-MONOMER,Lipst1_1_72597,10276,YDR242W,,1.355,0.741,
Lst|G1IA6-22564-MONOMER,Lipst1_1_74239,,,YALI0F20350g,,,0.359
Lst|G1IA6-21280-MONOMER,Lipst1_1_55014,13735,,YALI0D19470g,1.506,,1.39
Lst|G1IA6-19842-MONOMER,Lipst1_1_71088,15844,YER145C,YALI0D07304g,0.998,1.273,1.379
Lst|G1IA6-21706-MONOMER,Lipst1_1_64553,15321,YFL044C,YALI0D13046g,0.673,0.507,0.865
Lst|G1IA6-21057-MONOMER,Lipst1_1_315504,8828,YOR123C,YALI0B07095g,0.236,0.352,0.492
Lst|G1IA6-16843-MONOMER,Lipst1_1_556,,,YALI0A16841g,,,0.692
Lst|G1IA6-21083-MONOMER,Lipst1_1_320525,15467,YEL026W,YALI0F24497g,0.794,0.787,0.705
Lst|G1IA6-22931-MONOMER,Lipst1_1_74771,8763,YGL114W,YALI0E00968g,1.71,1.801,1.588
Lst|G1IA6-22843-MONOMER,Lipst1_1_6053,,,YALI0F19690g,,,0.295
Lst|G1IA6-17906-MONOMER,Lipst1_1_91415,15843,,YALI0C07722g,1.453,,1.551
Lst|G1IA6-24023-MONOMER,Lipst1_1_76065,8711,,,0.256,,
Lst|G1IA6-22435-MONOMER,Lipst1_1_5513,15372,YIR007W,YALI0B11418g,1.944,1.801,1.588
Lst|G1IA6-18897-MONOMER,Lipst1_1_2584,12793,YER049W,YALI0B21098g,1.029,1.106,1.281
Lst|G1IA6-19030-MONOMER,Lipst1_1_62408,12385,YMR008C,YALI0E16060g,1.158,1.772,1.588
Lst|G1IA6-19636-MONOMER,Lipst1_1_52327,10245,YGL116W,YALI0C03377g,1.353,1.185,1.588
Lst|G1IA6-21162-MONOMER,Lipst1_1_4316,12922,YOL021C,YALI0E03630g,1.944,1.801,1.588
Lst|G1IA6-23585-MONOMER,Lipst1_1_87872,,YPR196W,,,0.451,
Lst|G1IA6-22092-MONOMER,Lipst1_1_5348,,YMR165C,YALI0D27016g,,1.692,1.44
Lst|G1IA6-21153-MONOMER,Lipst1_1_4284,12939,YHR202W,YALI0D13640g,0.743,1.139,0.973
Lst|G1IA6-22256-MONOMER,Lipst1_1_85366,14363,YGL099W,YALI0C21956g,1.738,1.605,1.442
Lst|G1IA6-22647-MONOMER,Lipst1_1_107033,14605,YJL084C,YALI0B00594g,0.398,0.863,1.413
Lst|G1IA6-16467-MONOMER,Lipst1_1_121946,,YPR194C,YALI0A03949g,,1.801,1.588
Lst|G1IA6-17780-MONOMER,Lipst1_1_68496,9521,YBR042C,YALI0F02937g,0.639,0.571,0.853
Lst|G1IA6-22952-MONOMER,Lipst1_1_74862,12715,YML028W,YALI0B15125g,0.63,0.695,0.725
Lst|G1IA6-22264-MONOMER,Lipst1_1_97886,10042,YLR023C,YALI0B11242g,0.555,0.515,1.119
Lst|G1IA6-19811-MONOMER,Lipst1_1_70931,,,YALI0A19140g,,,0.097
Lst|G1IA6-20328-MONOMER,Lipst1_1_71465,10104,,,1.3,,
Lst|G1IA6-17591-MONOMER,Lipst1_1_48449,10602,YBR249C,YALI0C06952g,1.457,1.744,1.588
Lst|G1IA6-21931-MONOMER,Lipst1_1_147875,8950,YNL284C,,0.653,0.525,
Lst|G1IA6-20167-MONOMER,Lipst1_1_3600,14229,YKR039W,YALI0B19800g,1.927,1.801,1.588
Lst|G1IA6-18960-MONOMER,Lipst1_1_45280,,YJL083W,YALI0E29689g,,0.239,0.227
Lst|G1IA6-22793-MONOMER,Lipst1_1_5867,,YNL181W,YALI0D06061g,,0.899,1.103
Lst|G1IA6-20395-MONOMER,Lipst1_1_71728,13786,YIL164C,,0.541,0.221,
Lst|G1IA6-18757-MONOMER,Lipst1_1_2408,14981,YFL003C,,1.368,1.537,
Lst|G1IA6-18588-MONOMER,Lipst1_1_91749,,YEL020C,YALI0E07315g,,1.478,1.588
Lst|G1IA6-19966-MONOMER,Lipst1_1_282770,12082,YPR181C,YALI0D23705g,1.944,1.801,1.588
Lst|G1IA6-24434-MONOMER,Lipst1_1_7383,,YBL029W,,,0.171,
Lst|G1IA6-22817-MONOMER,Lipst1_1_5970,,,YALI0D15752g,,,0.583
Lst|G1IA6-22661-MONOMER,Lipst1_1_163839,10284,,,0.16,,
Lst|G1IA6-22975-MONOMER,Lipst1_1_86498,,YPR194C,YALI0A00110g,,1.801,1.588
Lst|G1IA6-18220-MONOMER,Lipst1_1_236717,14128,YBR170C,YALI0E13233g,1.712,1.656,1.487
Lst|G1IA6-19521-MONOMER,Lipst1_1_3004,9005,YBR133C,YALI0E18524g,1.573,0.927,1.514
Lst|G1IA6-20127-MONOMER,Lipst1_1_3464,12097,,YALI0B08712g,1.302,,1.276
Lst|G1IA6-17781-MONOMER,Lipst1_1_68497,10157,YGL058W,YALI0F26697g,0.828,0.8,0.782
Lst|G1IA6-20858-MONOMER,Lipst1_1_72175,,YCR095C,YALI0E27368g,,0.199,0.343
Lst|G1IA6-18499-MONOMER,Lipst1_1_69253,15096,YFR002W,YALI0C22066g,1.944,1.744,1.588
Lst|G1IA6-18034-MONOMER,Lipst1_1_1559,9220,YAR015W,YALI0E33033g,1.055,1.341,1.114
Lst|G1IA6-19117-MONOMER,Lipst1_1_69841,16228,,YALI0D08910g,0.135,,0.437
Lst|G1IA6-23436-MONOMER,Lipst1_1_6457,13346,YPL178W,YALI0E29293g,0.634,0.567,0.59
Lst|G1IA6-17616-MONOMER,Lipst1_1_49133,8694,YDR393W,YALI0E01188g,0.41,0.668,0.727
Lst|G1IA6-19319-MONOMER,Lipst1_1_262840,13506,YNL044W,YALI0A09845g,0.331,0.521,0.512
Lst|G1IA6-20543-MONOMER,Lipst1_1_302018,12052,YKL019W,YALI0B16126g,0.7,0.588,0.6
Lst|G1IA6-20744-MONOMER,Lipst1_1_53895,10999,YER089C,YALI0E14795g,1.311,1.048,1.409
Lst|G1IA6-18111-MONOMER,Lipst1_1_1874,12439,,,0.227,,
Lst|G1IA6-21209-MONOMER,Lipst1_1_4502,11064,YBR127C,YALI0E27346g,1.944,1.801,1.588
Lst|G1IA6-17915-MONOMER,Lipst1_1_931,15482,YPL091W,YALI0E18029g,1.715,1.801,1.588
Lst|G1IA6-22568-MONOMER,Lipst1_1_74254,,,YALI0C04796g,,,0.426
Lst|G1IA6-18254-MONOMER,Lipst1_1_240513,10647,YGR157W,YALI0E06061g,0.653,0.477,0.637
Lst|G1IA6-21864-MONOMER,Lipst1_1_97460,14369,,,1.01,,
Lst|G1IA6-18562-MONOMER,Lipst1_1_69491,13486,Rto|9639,YALI0F01672g,1.944,1.944,1.588
Lst|G1IA6-19133-MONOMER,Lipst1_1_69912,13233,YMR213W,YALI0D20086g,1.491,0.803,1.081
Lst|G1IA6-22856-MONOMER,Lipst1_1_65451,15262,YMR080C,YALI0D23881g,1.944,1.801,1.588
Lst|G1IA6-22748-MONOMER,Lipst1_1_57250,15752,YHR089C,YALI0C24057g,0.428,0.484,0.432
Lst|G1IA6-20419-MONOMER,Lipst1_1_94584,8746,,YALI0E09015g,1.944,,1.588
Lst|G1IA6-20734-MONOMER,Lipst1_1_53536,13834,YLR189C,YALI0D18403g,1.944,1.801,1.588
Lst|G1IA6-21223-MONOMER,Lipst1_1_4558,,,YALI0E03608g,,,0.742
Lst|G1IA6-18066-MONOMER,Lipst1_1_1703,,YDR362C,YALI0C18117g,,0.341,0.486
Lst|G1IA6-21262-MONOMER,Lipst1_1_54679,,,YALI0D02475g,,,0.761
Lst|G1IA6-19911-MONOMER,Lipst1_1_27561,13462,YIL046W,YALI0B09977g,1.577,1.677,1.588
Lst|G1IA6-21389-MONOMER,Lipst1_1_72849,9529,YHR027C,YALI0B02860g,1.944,1.801,1.588
Lst|G1IA6-19515-MONOMER,Lipst1_1_2983,8394,YDR190C,YALI0C21868g,1.944,1.801,1.588
Lst|G1IA6-18172-MONOMER,Lipst1_1_227961,9866,YDL208W,YALI0F20768g,0.393,0.559,0.505
Lst|G1IA6-20145-MONOMER,Lipst1_1_3535,15938,YGR186W,YALI0F12815g,0.335,0.594,0.772
Lst|G1IA6-20648-MONOMER,Lipst1_1_3923,11884,YIR027C,YALI0F23243g,1.641,1.515,1.521
Lst|G1IA6-17767-MONOMER,Lipst1_1_68413,9905,YJR013W,YALI0A20922g,0.893,1.025,1.27
Lst|G1IA6-23443-MONOMER,Lipst1_1_6470,,,YALI0D00385g,,,0.379
Lst|G1IA6-21367-MONOMER,Lipst1_1_72748,14896,YHR201C,,0.389,0.477,
Lst|G1IA6-20899-MONOMER,Lipst1_1_72332,10218,YOR356W,YALI0C14806g,1.944,1.801,1.588
Lst|G1IA6-23958-MONOMER,Lipst1_1_6913,11702,,YALI0F02123g,1.141,,1.117
Lst|G1IA6-18205-MONOMER,Lipst1_1_234440,,YDL218W,YALI0C04455g,,0.078,0.157
Lst|G1IA6-17054-MONOMER,Lipst1_1_67492,9226,YLL036C,YALI0C03982g,0.281,0.227,0.376
Lst|G1IA6-19081-MONOMER,Lipst1_1_69671,10527,YJR047C,YALI0C06886g,0.939,0.867,0.802
Lst|G1IA6-22927-MONOMER,Lipst1_1_74764,12620,,,0.312,,
Lst|G1IA6-18336-MONOMER,Lipst1_1_49704,,YPL207W,YALI0E31779g,,1.801,1.588
Lst|G1IA6-17636-MONOMER,Lipst1_1_61242,13812,,YALI0F24145g,0.237,,0.299
Lst|G1IA6-16532-MONOMER,Lipst1_1_131338,12189,YFR038W,,1.295,1.609,
Lst|G1IA6-21956-MONOMER,Lipst1_1_152013,,YMR185W,YALI0C07909g,,0.571,0.377
Lst|G1IA6-18739-MONOMER,Lipst1_1_2337,15030,,,0.495,,
Lst|G1IA6-19722-MONOMER,Lipst1_1_70538,13614,YEL024W,YALI0A02915g,1.143,1.017,0.984
Lst|G1IA6-17000-MONOMER,Lipst1_1_67258,15134,,YALI0E17391g,0.074,,0.293
Lst|G1IA6-18103-MONOMER,Lipst1_1_1840,13040,,YALI0F10285g,0.5,,0.734
Lst|G1IA6-16418-MONOMER,Lipst1_1_101937,10947,YDL190C,YALI0D12452g,1.944,1.801,1.588
Lst|G1IA6-22547-MONOMER,Lipst1_1_74170,15052,YHR030C,YALI0B02816g,1.944,1.801,1.588
Lst|G1IA6-18541-MONOMER,Lipst1_1_69420,10384,,,1.938,,
Lst|G1IA6-19467-MONOMER,Lipst1_1_2802,14368,YDR109C,YALI0D15114g,1.907,1.801,1.588
Lst|G1IA6-19250-MONOMER,Lipst1_1_92653,,YOR022C,YALI0B06094g,,1.018,1.078
Lst|G1IA6-23105-MONOMER,Lipst1_1_57844,14343,,YALI0E25179g,0.425,,0.721
Lst|G1IA6-21609-MONOMER,Lipst1_1_4771,15986,YMR093W,YALI0E01628g,1.109,1.706,1.42
Lst|G1IA6-21210-MONOMER,Lipst1_1_4503,,,YALI0B03762g,,,0.537
Lst|G1IA6-20285-MONOMER,Lipst1_1_71271,11955,,YALI0F06292g,0.875,,0.761
Lst|G1IA6-20085-MONOMER,Lipst1_1_3332,10499,YCL043C,YALI0E03036g,1.404,1.066,1.291
Lst|G1IA6-18377-MONOMER,Lipst1_1_62002,16781,YGR271C-A,YALI0B07161g,0.132,0.143,0.15
Lst|G1IA6-19761-MONOMER,Lipst1_1_70720,,,YALI0C05643g,,,0.464
Lst|G1IA6-20652-MONOMER,Lipst1_1_3935,,,YALI0D18810g,,,0.134
Lst|G1IA6-23133-MONOMER,Lipst1_1_6151,10472,,,0.512,,
Lst|G1IA6-17895-MONOMER,Lipst1_1_90789,11255,YJL125C,YALI0F22737g,0.807,1.2,1.097
Lst|G1IA6-20722-MONOMER,Lipst1_1_4182,12648,YLR319C,YALI0E27918g,0.904,1.149,1.349
Lst|G1IA6-19299-MONOMER,Lipst1_1_117091,,YPL233W,YALI0B04466g,,0.114,0.144
Lst|G1IA6-21385-MONOMER,Lipst1_1_72829,,YIR011C,YALI0A12023g,,0.192,0.463
Lst|G1IA6-18980-MONOMER,Lipst1_1_50811,8417,YMR236W,YALI0E23133g,0.24,0.529,0.568
Lst|G1IA6-20567-MONOMER,Lipst1_1_307150,14054,YFL025C,YALI0F03927g,1.487,1.602,1.11
Lst|G1IA6-20748-MONOMER,Lipst1_1_54038,13168,,,1.171,,
Lst|G1IA6-22081-MONOMER,Lipst1_1_5313,10265,,YALI0D05687g,0.153,,0.323
Lst|G1IA6-24181-MONOMER,Lipst1_1_76291,14871,YLR055C,YALI0E23804g,0.572,1.223,1.214
Lst|G1IA6-18412-MONOMER,Lipst1_1_68876,14023,YKR031C,YALI0E18898g,1.944,1.801,1.588
Lst|G1IA6-22432-MONOMER,Lipst1_1_5506,,YDR160W,,,1.226,
Lst|G1IA6-22183-MONOMER,Lipst1_1_73749,14979,YOR067C,YALI0A17512g,1.313,1.586,1.291
Lst|G1IA6-23778-MONOMER,Lipst1_1_75661,10359,,,1.431,,
Lst|G1IA6-20125-MONOMER,Lipst1_1_3458,9805,YEL042W,YALI0C17941g,1.328,1.755,1.497
Lst|G1IA6-18920-MONOMER,Lipst1_1_2634,9349,YOR159C,YALI0D01155g,0.288,0.295,0.253
Lst|G1IA6-24393-MONOMER,Lipst1_1_76643,16585,YPL058C,YALI0B12980g,1.944,1.801,1.588
Lst|G1IA6-24325-MONOMER,Lipst1_1_7293,12918,YGR163W,YALI0D10307g,0.72,1.313,1.241
Lst|G1IA6-23639-MONOMER,Lipst1_1_189035,,YLR361C,YALI0E23364g,,0.729,1.044
Lst|G1IA6-20863-MONOMER,Lipst1_1_72189,12560,YML094W,YALI0D25740g,0.402,0.363,0.278
Lst|G1IA6-21271-MONOMER,Lipst1_1_54874,8957,YOR091W,YALI0D07018g,0.858,0.969,1.099
Lst|G1IA6-23513-MONOMER,Lipst1_1_75388,,YHR175W,YALI0E15796g,,0.244,0.173
Lst|G1IA6-17413-MONOMER,Lipst1_1_205955,,,YALI0F19140g,,,0.148
Lst|G1IA6-21929-MONOMER,Lipst1_1_147517,11854,YBR160W,YALI0B10758g,1.59,1.605,1.588
Lst|G1IA6-20688-MONOMER,Lipst1_1_4049,,YJR118C,YALI0E25916g,,0.147,0.205
Lst|G1IA6-20126-MONOMER,Lipst1_1_3459,14393,,YALI0F09812g,0.479,,0.515
Lst|G1IA6-16734-MONOMER,Lipst1_1_40163,12432,,YALI0E05445g,0.181,,0.258
Lst|G1IA6-16900-MONOMER,Lipst1_1_643,11604,YHR018C,YALI0D26367g,1.944,1.801,1.588
Lst|G1IA6-19529-MONOMER,Lipst1_1_3046,13863,YJL072C,YALI0E15884g,0.271,0.403,0.539
Lst|G1IA6-17931-MONOMER,Lipst1_1_972,15829,YJR024C,YALI0C20427g,0.819,1.038,1.123
Lst|G1IA6-22477-MONOMER,Lipst1_1_56653,12362,YPL116W,YALI0A20834g,0.603,1.582,1.244
Lst|G1IA6-23583-MONOMER,Lipst1_1_87597,,,YALI0D25080g,,,0.677
Lst|G1IA6-20037-MONOMER,Lipst1_1_3208,12381,YDR533C,YALI0F00682g,0.268,0.752,0.572
